phase,episode,government,epsilon,games,white_wins,black_wins,draws,average_plies,average_prediction_error,average_constitutional_regret
frozen_self_play,15,monarchy,0.0,3,0,0,3,11.0,0.1834,0.0729
frozen_self_play,15,dictatorship,0.0,3,0,0,3,11.0,0.0631,0.1029
frozen_self_play,15,utilitarian,0.0,3,0,0,3,14.33,0.7194,0.0781
frozen_self_play,15,reputation,0.0,3,0,0,3,11.0,0.0688,0.0857
train,16,democracy,0.0763,1,0,0,1,12.0,0.0592,0.0952
train,16,monarchy,0.0763,1,0,0,1,12.0,0.1554,0.0572
train,16,dictatorship,0.0763,1,0,0,1,26.0,0.0941,0.1086
train,16,utilitarian,0.0763,1,0,0,1,5.0,0.8086,0.0832
train,16,reputation,0.0763,1,0,0,1,12.0,0.0586,0.0864
train,17,democracy,0.0647,1,0,0,1,11.0,0.0703,0.093
train,17,monarchy,0.0647,1,0,0,1,11.0,0.1591,0.0538
train,17,dictatorship,0.0647,1,0,0,1,15.0,0.075,0.1095
train,17,utilitarian,0.0647,1,0,0,1,7.0,0.5835,0.083
train,17,reputation,0.0647,1,0,0,1,11.0,0.0698,0.0859
train,18,democracy,0.0532,1,0,0,1,14.0,0.1573,0.0707
train,18,monarchy,0.0532,1,0,0,1,13.0,0.1369,0.0692
train,18,dictatorship,0.0532,1,0,0,1,22.0,0.2177,0.0838
train,18,utilitarian,0.0532,1,0,0,1,12.0,0.5661,0.0743
train,18,reputation,0.0532,1,0,0,1,14.0,0.1576,0.0664
train,19,democracy,0.0416,1,0,0,1,11.0,0.059,0.0865
train,19,monarchy,0.0416,1,0,0,1,11.0,0.1191,0.1105
train,19,dictatorship,0.0416,1,0,0,1,11.0,0.0907,0.1045
train,19,utilitarian,0.0416,1,0,0,1,8.0,0.4277,0.0745
train,19,reputation,0.0416,1,0,0,1,11.0,0.0588,0.0784
train,20,democracy,0.03,1,0,0,1,10.0,0.0645,0.09
train,20,monarchy,0.03,1,0,0,1,10.0,0.1126,0.1132
train,20,dictatorship,0.03,1,0,0,1,52.0,0.248,0.095
train,20,utilitarian,0.03,1,0,0,1,9.0,0.3572,0.0716
train,20,reputation,0.03,1,0,0,1,10.0,0.0644,0.0819
frozen_self_play,20,democracy,0.0,3,0,0,3,11.67,0.0653,0.0892
frozen_self_play,20,monarchy,0.0,3,0,0,3,11.33,0.1158,0.0611
frozen_self_play,20,dictatorship,0.0,3,0,0,3,11.67,0.2159,0.1128
frozen_self_play,20,utilitarian,0.0,3,0,0,3,11.67,0.3094,0.0751
frozen_self_play,20,reputation,0.0,3,0,0,3,11.67,0.0653,0.083
